num_of_pers,Nb_Phd,GrandSuc,GrandUnSuc,AApaper,Apaper,Bpaper,Cpaper,CountCountries,AvAge,num_of_depmts,main_depmt,num_of_facs,main_fac,NbYearsUni,num_of_dif_Roles
1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,52.0,1.0,3073.0,1.0,31.0,0.0,1.0
1.0,0.0,0.0,0.0,6.0,12.0,2.0,2.0,1.0,57.0,1.0,2538.0,1.0,25.0,30.0,1.0
4.0,0.0,0.0,0.0,7.0,20.0,20.0,7.0,2.0,65.75,3.0,2923.0,1.0,25.0,67.5,3.0
2.0,0.0,0.0,0.0,0.0,3.0,13.0,3.0,1.0,52.0,1.0,2678.0,1.0,25.0,10.0,4.0
1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,52.0,1.0,2153.0,1.0,19.0,7.5,1.0
1.0,0.0,2.0,0.0,7.0,27.0,27.0,6.0,1.0,67.0,1.0,2533.0,1.0,25.0,2.5,1.0
3.0,0.0,0.0,1.0,8.0,12.0,14.0,4.0,2.0,60.33333333333326,1.0,3028.0,1.0,31.0,25.0,2.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,64.5,1.0,2563.0,1.0,25.0,0.0,2.0
2.0,0.0,2.0,1.0,8.0,1.0,11.0,0.0,1.0,69.5,1.0,3123.0,1.0,31.0,15.0,2.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,59.5,1.0,3098.0,1.0,31.0,32.5,1.0
1.0,0.0,2.0,7.0,0.0,8.0,4.0,0.0,1.0,57.0,1.0,2678.0,1.0,25.0,7.5,2.0
1.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,57.0,1.0,2713.0,1.0,25.0,0.0,1.0
2.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,1.0,52.0,2.0,1998.0,1.0,19.0,0.0,2.0
3.0,0.0,3.0,5.0,7.0,17.0,3.0,2.0,2.0,60.33333333333326,3.0,2163.0,2.0,19.0,67.5,3.0
1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,52.0,1.0,2883.0,1.0,25.0,2.5,1.0
1.0,0.0,2.0,7.0,0.0,8.0,4.0,0.0,1.0,57.0,1.0,2678.0,1.0,25.0,7.5,1.0
1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,67.0,1.0,2523.0,1.0,25.0,2.5,1.0
2.0,0.0,2.0,0.0,6.0,4.0,6.0,32.0,1.0,62.0,1.0,1258.0,1.0,34.0,42.5,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,2558.0,1.0,25.0,0.0,1.0
1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,52.0,1.0,2713.0,1.0,25.0,7.5,1.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,57.0,1.0,1038.0,1.0,1.0,0.0,1.0
2.0,0.0,3.0,3.0,6.0,12.0,2.0,2.0,1.0,62.0,2.0,2768.0,1.0,25.0,60.0,2.0
2.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,57.0,1.0,2053.0,1.0,19.0,7.5,1.0
2.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,59.5,2.0,2678.0,1.0,25.0,30.0,3.0
1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,62.0,1.0,2653.0,1.0,25.0,2.5,1.0
1.0,0.0,1.0,5.0,4.0,3.0,1.0,0.0,1.0,67.0,1.0,2653.0,1.0,25.0,7.5,1.0
1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,52.0,1.0,2578.0,1.0,25.0,7.5,1.0
1.0,0.0,2.0,7.0,0.0,8.0,4.0,0.0,1.0,57.0,1.0,2678.0,1.0,25.0,7.5,2.0
4.0,0.0,3.0,0.0,4.0,8.0,3.0,2.0,2.0,59.5,1.0,1623.0,1.0,13.0,7.5,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,62.0,1.0,653.0,1.0,7.0,2.5,1.0
2.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,54.5,1.0,2538.0,1.0,25.0,5.0,3.0
6.0,0.0,4.0,0.0,29.0,24.0,31.0,13.0,2.0,52.83333333333326,2.0,2653.0,1.0,25.0,35.0,2.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,67.0,1.0,2298.0,1.0,46.0,0.0,1.0
1.0,0.0,2.0,1.0,8.0,3.0,1.0,0.0,1.0,57.0,1.0,3123.0,1.0,31.0,2.5,2.0
1.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,62.0,1.0,2813.0,1.0,25.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,47.0,1.0,3268.0,1.0,31.0,0.0,1.0
